# edo-unity アセット目録 — Edo ▸ アセット目録 ▸ 目録を再生成 で更新
# 寸法は scale=1 のときの実寸[m]。pivot_bottom はピボットから最下端までの y
# (0 なら足元がピボット。負なら足元がピボットより下)
# root_scale: ルート自身の補正スケール(1 でなければ共通ヘルパに Vector3.one を渡すと化ける)
# shader: BUILTIN = URP でピンクになる。use: S=シーンで使用中 / B=ビルダーが参照
path	name	pack	kind	sx	sy	sz	pivot_bottom	root_scale	tris	renderers	shader	use
Assets/Edo/Models/Dobei/DobeiModule2m.fbx	DobeiModule2m	Edo	fbx	30.97	35	9.91	0	2,0.35,0.5	44	1	URP	-
Assets/Edo/Models/Dobei/DobeiModule2m_1.fbx	DobeiModule2m_1	Edo	fbx	88.5	100	28.32	0	1	44	1	URP	-
Assets/Edo/Models/es_hmon/h_mon.obj	h_mon	Edo	obj	8.47	2.81	3.31	-0.99	1	38088	46	URP	-
Assets/Edo/Models/Gogan/RankuiModule2m.fbx	RankuiModule2m	Edo	fbx	107.53	45.92	71.02	-3.63	1	448	1	URP	S
Assets/Edo/Models/Shiomizaka/DanishiStep2m.fbx	DanishiStep2m	Edo	fbx	1.98	0.49	0.62	-0.5	1	432	1	URP	-
Assets/Edo/Models/Shiomizaka/MichibataIshi2m.fbx	MichibataIshi2m	Edo	fbx	2.19	0.69	0.43	-0.68	1	756	1	URP	-
Assets/Edo/Models/Shiomizaka/P_DanishiStep2m.prefab	P_DanishiStep2m	Edo	prefab	1.98	0.49	0.62	-0.5	1	432	1	URP	SB
Assets/Edo/Models/Shiomizaka/P_MichibataIshi2m.prefab	P_MichibataIshi2m	Edo	prefab	2.19	0.69	0.43	-0.68	1	756	1	URP	SB
Assets/Edo/Prefabs/KasugaLantern.prefab	KasugaLantern	Edo	prefab	0.74	1.89	0.64	0	1	328	1	URP	SB
Assets/Edo/Prefabs/Machiya.prefab	Machiya	Edo	prefab	0	0	0	0	1	0	1	URP	-
Assets/Edo/Prefabs/YukimiLantern.prefab	YukimiLantern	Edo	prefab	0.93	0.87	0.93	-0.01	1	312	1	URP	SB
Assets/Edo/Terrain/details/BroadleafTree.prefab	BroadleafTree	Edo	prefab	5.6	5.9	4.7	0	1	2384	1	URP	B
Assets/Edo/Terrain/details/GrassLowA.prefab	GrassLowA	Edo	prefab	0.45	0.11	0.4	-0.02	1	128	1	URP	-
Assets/Edo/Terrain/details/GrassLowB.prefab	GrassLowB	Edo	prefab	0.33	0.11	0.2	-0.02	1	80	1	URP	-
Assets/edogoyomi/cr2_baguset/Runtime/Geometries/honey/bagu_body.obj	bagu_body	edogoyomi	obj	0.28	0.3	0.65	0.37	1	8804	3	URP	-
Assets/edogoyomi/cr2_baguset/Runtime/Geometries/honey/bagu_head.obj	bagu_head	edogoyomi	obj	0.22	0.33	0.52	0.43	1	2996	57	URP	-
Assets/edogoyomi/cr2_baguset2/Runtime/Geometries/honey/bagu2_body.obj	bagu2_body	edogoyomi	obj	0.24	0.3	0.64	0.37	1	5572	3	URP	-
Assets/edogoyomi/cr2_baguset2/Runtime/Geometries/honey/bagu2_head.obj	bagu2_head	edogoyomi	obj	0.22	0.33	0.52	0.43	1	2882	57	URP	-
Assets/edogoyomi/cr2_baguset3/Runtime/geometries/Honey/bagu3_body.obj	bagu3_body	edogoyomi	obj	0.27	0.37	0.65	0.36	1	14368	3	URP	-
Assets/edogoyomi/cr2_baguset3/Runtime/geometries/Honey/bagu3_head.obj	bagu3_head	edogoyomi	obj	0.1	0.19	0.1	0.49	1	1290	1	URP	-
Assets/edogoyomi/cr2_baguset3/Runtime/geometries/Honey/bagu3_hikizuna.obj	bagu3_hikizuna	edogoyomi	obj	0.03	0.85	0.03	-0.35	1	3240	41	URP	-
Assets/edogoyomi/cr2_m3shokunin/Runtime/libraries/Character/Honey/m3haragake.obj	m3haragake	edogoyomi	obj	0.17	0.3	0.11	0.35	1	1434	5	URP	-
Assets/edogoyomi/cr2_m3shokunin/Runtime/libraries/Character/Honey/m3pacchi.obj	m3pacchi	edogoyomi	obj	0.16	0.42	0.11	0.03	1	2342	7	URP	-
Assets/edogoyomi/cr2_m3shokunin/Runtime/libraries/Character/Honey/m3tabi_bl.obj	m3tabi_bl	edogoyomi	obj	0.15	0.05	0.12	-0.01	1	1992	6	URP	-
Assets/edogoyomi/cr2_m3shokunin/Runtime/libraries/Character/Honey/m3warazori.obj	m3warazori	edogoyomi	obj	0.16	0.03	0.11	-0.01	1	1096	4	URP	-
Assets/edogoyomi/cr2_m3tabinin/Runtime/Geometries/honey/m3tabil.obj	m3tabil	edogoyomi	obj	0.18	0.26	0.14	0.19	1	4087	1	URP	-
Assets/edogoyomi/cr2_m_senpuki/Runtime/Geometries/Honey/m_senpuki.obj	m_senpuki	edogoyomi	obj	1.43	1.7	0.74	0	1	16298	3	URP	-
Assets/edogoyomi/cr2_shiba/Runtime/Geometries/honey/shiba.obj	shiba	edogoyomi	obj	0.54	1.22	1.67	0.07	1	21712	19	URP	-
Assets/edogoyomi/cr2_v3oiran/Runtime/geometries/Honey/v3hikigi_lb.obj	v3hikigi_lb	edogoyomi	obj	0.26	0.54	0.24	-0.1	1	2606	2	URP	-
Assets/edogoyomi/cr2_v3oiran/Runtime/geometries/Honey/v3hikigi_obi.obj	v3hikigi_obi	edogoyomi	obj	0.15	0.08	0.12	0.4	1	384	2	URP	-
Assets/edogoyomi/cr2_v3oiran/Runtime/geometries/Honey/v3top.obj	v3top	edogoyomi	obj	0.33	0.19	0.11	0.44	1	3507	6	URP	-
Assets/edogoyomi/cr2_v4oiran/Runtime/geometries/Honey/v4hikigi_l.obj	v4hikigi_l	edogoyomi	obj	0.27	0.55	0.24	-0.11	1	2606	2	URP	-
Assets/edogoyomi/cr2_v4oiran/Runtime/geometries/Honey/v4hikigi_obi.obj	v4hikigi_obi	edogoyomi	obj	0.15	0.08	0.12	0.39	1	384	2	URP	-
Assets/edogoyomi/cr2_v4oiran/Runtime/geometries/Honey/v4top.obj	v4top	edogoyomi	obj	0.34	0.19	0.12	0.46	1	3507	6	URP	-
